Date,Open,High,Low,Close,Volume
02/03/2021,292.34,292.69,284.35,284.9,"55,030,587"
02/04/2021,285.0,285.5,277.81,283.33,"47,438,029"
02/05/2021,281.67,288.26,279.66,284.08,"55,699,981"
02/08/2021,289.89,292.59,284.92,287.81,"60,485,226"
02/09/2021,285.04,286.6,280.58,283.15,"45,472,997"
02/10/2021,281.21,281.61,266.67,268.27,"108,648,383"
02/11/2021,270.81,276.63,267.24,270.55,"64,868,318"
02/12/2021,267.09,272.44,261.78,272.04,"71,305,010"
02/16/2021,272.67,273.67,264.15,265.41,"59,407,022"
02/17/2021,259.7,266.61,254.0,266.05,"78,236,776"
02/18/2021,260.3,264.9,258.76,262.46,"53,871,239"
02/19/2021,265.0,265.6,259.12,260.43,"56,874,839"
02/22/2021,254.21,256.17,236.73,238.17,"111,809,274"
02/23/2021,220.71,237.87,206.33,232.95,"199,820,857"
02/24/2021,237.28,248.33,231.39,247.34,"110,300,974"
02/25/2021,242.05,245.74,223.53,227.41,"117,071,699"
02/26/2021,233.33,235.57,219.84,225.17,"123,267,632"
03/01/2021,230.04,290.67,228.35,239.48,"81,408,811"
03/02/2021,239.43,240.37,228.33,228.81,"71,196,554"
03/03/2021,229.33,233.57,217.23,217.73,"90,623,977"
03/04/2021,218.6,291.31,200.0,207.15,"197,758,775"
03/05/2021,208.69,209.28,179.83,199.32,"268,189,662"
03/08/2021,200.18,206.71,186.26,187.67,"155,361,045"
03/09/2021,202.73,226.03,198.4,224.53,"202,570,195"
03/10/2021,233.43,239.28,218.35,222.69,"181,817,205"
03/11/2021,233.13,234.17,225.73,233.2,"108,761,774"
03/12/2021,223.33,231.63,222.05,231.24,"100,751,625"
03/15/2021,231.36,237.73,228.01,235.98,"88,270,538"
03/16/2021,234.45,235.97,223.67,225.63,"96,587,111"
03/17/2021,218.96,234.58,217.0,233.94,"121,117,473"
03/18/2021,228.1,229.74,217.33,217.72,"100,107,164"
03/19/2021,215.53,219.08,208.21,218.29,"128,682,074"
03/22/2021,228.2,233.21,222.92,223.33,"118,536,781"
03/23/2021,225.26,225.93,219.17,220.72,"91,475,702"
03/24/2021,222.64,222.67,210.04,210.09,"101,385,610"
03/25/2021,204.33,215.17,203.17,213.46,"117,674,667"
03/26/2021,213.96,214.61,199.96,206.24,"101,558,602"
03/29/2021,205.21,205.49,198.67,203.76,"85,911,054"
03/30/2021,200.58,212.55,197.0,211.87,"118,297,200"
03/31/2021,215.54,224.0,213.7,222.64,"100,011,971"
04/01/2021,229.46,230.81,219.81,220.58,"105,895,247"
04/05/2021,235.9,236.05,228.23,230.35,"125,528,441"
04/06/2021,230.1,232.18,227.12,230.54,"84,815,608"
04/07/2021,229.0,230.46,222.61,223.66,"78,928,378"
04/08/2021,225.79,229.85,223.88,227.93,"71,773,059"
04/09/2021,225.92,226.99,223.14,225.67,"64,311,337"
04/12/2021,228.57,234.93,227.36,233.99,"87,407,101"
04/13/2021,237.57,254.33,236.89,254.11,"133,958,567"
04/14/2021,256.9,260.26,242.68,244.08,"147,052,443"
04/15/2021,247.7,247.9,240.44,246.28,"83,546,781"
04/16/2021,242.88,249.8,241.53,246.59,"83,938,668"
04/19/2021,239.87,241.8,230.6,238.21,"119,058,814"
04/20/2021,239.14,245.75,236.89,239.66,"106,827,228"
04/21/2021,234.92,248.28,232.67,248.04,"93,646,622"
04/22/2021,247.17,251.26,239.35,239.9,"106,770,897"
04/23/2021,239.93,245.79,238.49,243.13,"85,241,756"
04/26/2021,247.0,249.77,244.2,246.07,"93,115,591"
04/27/2021,239.32,241.33,234.45,234.91,"88,311,098"
04/28/2021,232.14,236.17,231.2,231.47,"66,813,223"
04/29/2021,233.17,234.08,222.83,225.67,"86,536,431"
04/30/2021,222.53,238.49,222.05,236.48,"122,276,284"
05/03/2021,234.6,235.33,226.83,228.3,"81,129,502"
05/04/2021,226.31,227.82,219.23,224.53,"89,218,053"
05/05/2021,227.02,228.43,222.45,223.65,"65,705,741"
05/06/2021,226.92,227.01,216.67,221.18,"83,353,944"
05/07/2021,221.93,230.0,220.07,224.12,"70,407,577"
05/10/2021,221.63,221.68,209.2,209.68,"94,177,352"
05/11/2021,199.75,209.03,198.53,205.73,"139,511,839"
05/12/2021,200.83,206.8,195.59,196.63,"101,471,050"
05/13/2021,200.51,202.15,186.55,190.56,"132,554,904"
05/14/2021,194.47,197.62,190.15,196.58,"100,112,681"
05/17/2021,191.85,196.58,187.07,192.28,"96,743,510"
05/18/2021,189.33,198.75,187.79,192.62,"110,491,813"
05/19/2021,184.18,188.74,182.33,187.82,"118,735,318"
05/20/2021,191.67,196.28,190.36,195.59,"92,463,453"
05/21/2021,198.7,198.89,193.33,193.63,"78,091,881"
05/24/2021,193.87,204.83,191.22,202.15,"103,674,378"
05/25/2021,202.44,204.66,198.57,201.56,"84,017,872"
05/26/2021,202.52,208.72,200.5,206.38,"85,918,017"
05/27/2021,206.75,210.38,205.4,210.28,"79,111,858"
05/28/2021,209.5,211.86,207.46,208.41,"68,211,188"
06/01/2021,209.27,211.27,206.85,207.97,"54,254,730"
06/02/2021,206.71,207.79,199.71,201.71,"69,908,404"
06/03/2021,200.6,201.52,190.41,190.95,"90,335,761"
06/04/2021,193.24,200.2,192.4,199.68,"72,110,769"
06/07/2021,197.27,203.33,194.29,201.71,"67,631,110"
06/08/2021,207.67,207.7,198.5,201.2,"78,160,305"
06/09/2021,200.72,203.93,199.21,199.59,"49,753,756"
06/10/2021,201.29,205.53,200.17,203.37,"71,758,896"
06/11/2021,203.41,204.19,200.51,203.3,"48,615,951"
06/14/2021,204.08,208.5,203.06,205.9,"61,272,004"
06/15/2021,205.56,205.6,199.41,199.79,"53,292,506"
06/16/2021,199.18,202.83,197.83,201.62,"66,432,462"
06/17/2021,200.63,207.16,200.45,205.53,"68,104,121"
06/18/2021,204.46,209.45,203.93,207.77,"73,682,807"
06/21/2021,208.16,210.46,202.96,206.94,"74,438,286"
06/22/2021,206.08,209.52,205.17,207.9,"57,476,733"
06/23/2021,210.67,219.07,210.01,218.86,"93,297,784"
06/24/2021,225.0,232.54,222.54,226.61,"137,947,305"
06/25/2021,229.86,231.27,222.9,223.96,"97,490,235"
06/28/2021,223.88,231.57,223.44,229.57,"64,884,548"
06/29/2021,228.22,229.17,225.3,226.92,"52,143,987"
06/30/2021,226.59,230.94,226.05,226.57,"56,774,636"
07/01/2021,227.97,229.33,224.27,225.97,"55,903,618"
07/02/2021,226.33,233.33,224.42,226.3,"81,292,192"
07/06/2021,227.24,228.0,217.13,219.86,"69,853,414"
